year;date;place;transect ;plot;transect_plot;habitat;frame_no;grub_SPR;probe_SPR ;p_a;observer;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;11_July;Hanaskogdalen S;5;4;54;15;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;1;25;3;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;2;na;4;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;5;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;1;61;11;8;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;4;25;2;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;7;na;na;0;Yann;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;2;62;11;8;na;na;0;Yann;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;5;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;3;63;11;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;2;25;4;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;7;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;13_July;Hanaskogdalen S;6;4;64;5;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;2;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;3;25;1;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;4;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;5;25;na;1;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;7;na;1;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;1;71;15;8;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;1;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;2;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;3;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;4;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;5;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
2011;12_July;Hanaskogdalen S;7;2;72;17;6;na;na;0;Karin;;;;;;;;;;;;;;;;;;;;
