year;date;location;transect;plot;transect_plot;frame_no;frame_square;grub;observer;utm_x;utm_y;grub_prob
2012;1807;Hanaskogdalen_N;1;1;11;8;8;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;9;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;10;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;11;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;12;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;13;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;14;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;15;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;16;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;17;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;18;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;19;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;20;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;21;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;22;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;23;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;24;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;8;25;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;2;12;1;1;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;2;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;3;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;4;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;5;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;6;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;7;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;8;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;9;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;10;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;11;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;12;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;13;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;14;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;15;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;16;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;17;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;18;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;19;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;20;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;21;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;22;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;23;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;24;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;1;25;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;1;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;2;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;3;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;4;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;5;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;6;0;Anna;514166;8690568;15.5680
2012;1807;Hanaskogdalen_N;1;2;12;2;7;0;Anna;514166;8690568;15.5680
