OBJECTID;Survey_type;Plot_Type;Valley;Transect_no;Plot_no;Date;Year;Recorder;GPS_X;GPS_Y;Coordinate_system;Elev;Slope;Veg_type;Veg_type2;Veg_type_reduced;Star;Agent;Geese_present;Only_geese;Area_impacted;Grubbed_low;Grubbed_mid;Grubbed_high;Patch_size_bare;Recent_grubbing;Grubbing_present;LT_veg_change;Spatial_extent;Comment;NoteRene;NoteHelen
221;Plot;Large;Semmeldalen;NA;73;NA;2018;RvdW;507230;8657375;ED1950;95;3.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;Plot;Large;Istjorndalen;NA;74;NA;1998;RvdW;506862;8659748;ED1950;270;23.31;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
222;Plot;Large;Istjorndalen;NA;74;NA;2018;RvdW;506862;8659748;ED1950;270;23.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
223;Plot;Large;Passdalen;NA;75;NA;2018;RvdW;506932;8657401;ED1950;120;5.88;3.5;3.5;3.5;NA;G;Y;Y;L;NA;NA;NA;1;NA;Y;NA;NA;NA;NA;NA
43;Plot;Large;Passdalen;NA;75;NA;1998;RvdW;506932;8657401;ED1950;120;5.88;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;Plot;Large;Istjorndalen;NA;76;NA;1998;RvdW;506842;8659707;ED1950;250;21.34;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
224;Plot;Large;Istjorndalen;NA;76;NA;2018;RvdW;506842;8659707;ED1950;250;21.34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;Plot;Large;Passdalen;NA;77;NA;1998;RvdW;506680;8657498;ED1950;147;2.45;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
225;Plot;Large;Passdalen;NA;77;NA;2018;RvdW;506680;8657498;ED1950;147;2.45;3;3;3;NA;R;N;N;L;NA;NA;NA;1;N;N;N;NA;Reindeerbreakingthroughblackcrust;NA;NA
46;Plot;Large;Istjorndalen;NA;78;NA;1998;RvdW;506987;8659399;ED1950;195;8.31;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
226;Plot;Large;Istjorndalen;NA;78;NA;2018;RvdW;506987;8659399;ED1950;195;8.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
227;Plot;Large;Passdalen;NA;79;NA;2018;RvdW;506069;8657506;ED1950;160;3.85;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;Plot;Large;Passdalen;NA;79;NA;1998;RvdW;506069;8657506;ED1950;160;3.85;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;Plot;Large;Istjorndalen;NA;80;NA;1998;RvdW;507065;8658868;ED1950;170;4.84;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
228;Plot;Large;Istjorndalen;NA;80;NA;2018;RvdW;507065;8658868;ED1950;170;4.84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;Plot;Large;Passdalen;NA;81;NA;1998;RvdW;505415;8657518;ED1950;185;14.69;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
229;Plot;Large;Passdalen;NA;81;NA;2018;RvdW;505415;8657518;ED1950;185;14.69;6;6;6;NA;E,G;Y;N;M;NA;NA;NA;4;Y;Y;N;NA;Grubbingisshallow;NA;NA
230;Plot;Large;Semmeldalen;NA;82;NA;2018;RvdW;507888;8657226;ED1950;77;1.38;0;0;0;NA;R;N;N;L;NA;NA;NA;0;Y;N;NA;NA;NA;NA;NA
50;Plot;Large;Semmeldalen;NA;82;NA;1998;RvdW;507888;8657226;ED1950;77;1.38;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
231;Plot;Large;Passdalen;NA;83;NA;2018;RvdW;505098;8657550;ED1950;190;7.52;3;3;3;NA;G;Y;Y;L;NA;NA;NA;0;Y;Y;N;NA;Verygrassy(P.alpg);NA;NA
51;Plot;Large;Passdalen;NA;83;NA;1998;RvdW;505098;8657550;ED1950;190;7.52;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;Plot;Large;Semmeldalen;NA;84;NA;1998;RvdW;508033;8657128;ED1950;80;1.05;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
232;Plot;Large;Semmeldalen;NA;84;NA;2018;RvdW;508033;8657128;ED1950;80;1.05;7;7;7;NA;R;N;N;H;NA;NA;NA;0;N;N;NA;NA;Walkingthroughwetmoss;NA;NA
53;Plot;Large;Passdalen;NA;85;NA;1998;RvdW;504826;8657415;ED1950;175;9.47;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
233;Plot;Large;Passdalen;NA;85;NA;2018;RvdW;504826;8657415;ED1950;175;9.47;4;4;4;NA;G;Y;Y;L;NA;NA;NA;0;Y;Y;N;NA;NA;NA;NA
