ID,UTM_E,UTM_N
916,425438.8659,8760293.08
917,425438.4209,8760293.98
918,425437.9759,8760294.88
919,425437.5309,8760295.78
920,425437.0859,8760296.68
921,425436.6409,8760297.58
922,425436.1959,8760298.48
923,425435.7509,8760299.38
924,425435.3059,8760300.28
925,425434.8609,8760301.18
926,425434.4159,8760302.08
927,425433.9709,8760302.98
928,425433.5259,8760303.88
929,425433.0809,8760304.78
930,425432.6359,8760305.68
931,425432.1909,8760306.58
932,425431.7459,8760307.48
933,425431.3009,8760308.38
934,425430.8559,8760309.28
935,425430.4109,8760310.18
936,425429.9659,8760311.08
937,425429.5209,8760311.98
938,425429.0759,8760312.88
939,425428.6309,8760313.78
940,425428.1859,8760314.68
941,425427.7409,8760315.58
942,425427.2959,8760316.48
943,425426.8509,8760317.38
944,425426.4059,8760318.28
945,425425.9609,8760319.18
946,425425.5159,8760320.08
947,425425.0709,8760320.98
948,425424.6259,8760321.88
949,425424.1809,8760322.78
950,425423.7359,8760323.68
951,425423.2909,8760324.58
952,425422.8459,8760325.48
953,425422.4009,8760326.38
954,425421.9559,8760327.28
955,425421.5109,8760328.18
956,425421.0659,8760329.08
957,425420.6209,8760329.98
958,425420.1759,8760330.88
959,425419.7309,8760331.78
960,425419.2859,8760332.68
961,425418.8409,8760333.58
962,425418.3959,8760334.48
963,425417.9509,8760335.38
964,425417.5059,8760336.28
965,425075.9718,8760770.042
966,425075.4018,8760770.892
967,425074.8318,8760771.742
968,425074.2618,8760772.592
969,425073.6918,8760773.442
970,425073.1218,8760774.292
971,425072.5518,8760775.142
972,425071.9818,8760775.992
973,425071.4118,8760776.842
974,425070.8418,8760777.692
975,425070.2718,8760778.542
976,425069.7018,8760779.392
977,425069.1318,8760780.242
978,425068.5618,8760781.092
979,425067.9918,8760781.942
980,425067.4218,8760782.792
981,425066.8518,8760783.642
982,425066.2818,8760784.492
983,425065.7118,8760785.342
984,425065.1418,8760786.192
985,425064.5718,8760787.042
986,425064.0018,8760787.892
987,425063.4318,8760788.742
988,425062.8618,8760789.592
989,425062.2918,8760790.442
990,425061.7218,8760791.292
991,425061.1518,8760792.142
992,425060.5818,8760792.992
993,425060.0118,8760793.842
994,425059.4418,8760794.692
995,425058.8718,8760795.542
