Year,Sublocation,Survey_type,UTM_E,UTM_N,Datum,Grubbing_PresenceAbsence,Grubbing_Intensity,VegetationType_as_provided,DataShepherd,SpatialScale_GrubbingRecording,VegetationType_reclassified,Location_Valley,UTMZone,GrubbingType
2018,Semmeldalen,Valleywalk,508760,8656698,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508919,8656625,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509149,8656519,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509803,8656219,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509905,8656152,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509820,8655839,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509745,8654835,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510793,8654066,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,511114,8653831,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510015,8651942,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510050,8651993,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510481,8652618,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510680,8652905,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510715,8652956,ED1950,0,0.75,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,510750,8653006,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,NA,NA,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,NA,NA,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509576,8651910,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509562,8651922,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509548,8651934,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509211,8652216,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508818,8652545,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,508649,8652686,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509337,8654936,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509326,8654919,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509314,8654901,ED1950,0,0.375,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509303,8654884,ED1950,1,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509292,8654866,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509280,8654849,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509269,8654832,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509258,8654814,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509246,8654797,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509235,8654779,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509224,8654762,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509212,8654745,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509190,8654710,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509178,8654692,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509167,8654675,ED1950,0,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509156,8654658,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Semmeldalen,Valleywalk,509110,8654588,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
